place,category,address,tel,review_count,total star,url,user_name,write_date,user_stars,comment,lat,lng
모텔마추피추,"여관,모텔",신음동 588-10,054-439-1200,1,1.0,,['게'],['2021.07.19.'],['1'],[''],36.1486905,128.1181858
롯데모텔,"여관,모텔",평화동 245-158,054-433-6563,0,0.0,,,,,,36.1253648,128.1089655
오페라모텔,"여관,모텔",부곡동 402-21,054-433-3055,1,1.0,,['백철주'],['2019.03.19.'],['1'],['진짜 점주 마인드 교육쩜 해야할듯'],36.1248706,128.1042377
렉스모텔,"여관,모텔",평화동 145-5,,1,5.0,,['김자평'],['2018.01.02.'],['5'],['출장 왔는데 저렴하게 잘만함 각 방마다 무선 공유기 있음 랜케이블을 소유한 자는 유선으로 연결할 수 있는 포트 여유분 있음 목욕탕이 사각형이 아니라 삼각형의 큰 목욕탕이라서 물을 채워서 몸을 담글 수 있음  4만 원짜리 1인용 개인실 치고는 괜찮음  실제 체험하고 글을 올림 물 두 개  커 피 두 개  차 두 개  종이컵 기타 세면도구 다 증정 함  인터넷...'],36.1272092,128.1086347
전원모텔,"여관,모텔",구성면 미평리 129,054-435-5115,0,0.0,,,,,,36.0313244,128.0500688
모디이캠핑장,"야영,캠핑장",지례면 도곡리 522-3,054-436-9555,1,5.0,http://modicamping.co.kr/,['사랑으로'],['2021.08.25.'],['5'],['푸르름의 향을 만끽 할수 있는 힐링의 캠핑장 인듯 합니다. 잘 쉬었다  왔네요.'],35.9771001,128.0156817
힐링모텔,"여관,모텔",대항면 덕전리 1286,,0,0.0,,,,,,36.1298024,128.0343071
샵모텔,"여관,모텔",평화동 245-122,,0,0.0,,,,,,36.1259628,128.1084486
탑모텔,"여관,모텔",삼락동 1180,,2,5.0,,"['최순석', '평안']","['2019.10.28.', '2018.05.05.']","['5', '5']","['', '']",36.1427584,128.0923294
그랜드모텔,"여관,모텔",평화동 300-15,054-430-1616,1,5.0,,['Chance'],['2020.06.14.'],['5'],[''],36.1222731,128.1141447
프로포즈모텔,"여관,모텔",부곡동 402-2,054-432-3013,0,0.0,,,,,,36.1251238,128.1043358
옥당걸숲속펜션,펜션,부항면 두산리 158,,2,5.0,http://www.okdanggeol.co.kr/,"['Ma-hert~!', '행복']","['2019.09.09.', '2019.04.28.']","['5', '5']","['자연 그대로의 환경과 주변의 경치에 자연인 듯한 넓직한 시설에 자연과 잘 어울리는 사장님의 미소와 친절은 그리움의 원천이 될 듯 합니다~,  쏟아지는 은하수는 늘 꿈에서 찾아가는 도로가 되고요~!', '사장님 정말친절하고 주변경치도 너무좋네요 강추입니다 근처 부항댐 도있고 직지사도 있고 담에 또오고싶네요']",36.0055059,127.9554829
은하수관광농원 캠핑장,"야영,캠핑장",부항면 두산리 166,,0,0.0,,,,,,36.0032407,127.9549839
김천 러브 무인텔,호텔,남면 부상리 47-5,,0,0.0,,,,,,36.0649367,128.298245
알프스모텔,"여관,모텔",대항면 향천리 328-6,054-437-8933,1,5.0,,['종종'],['2019.04.12.'],['5'],[''],36.1162172,128.0175188
원모텔,"여관,모텔",부곡동 425-23,054-434-1334,0,0.0,,,,,,36.1244688,128.1030241
남경오디세이,펜션,지례면 울곡리 822-1,054-435-5732,0,0.0,http://www.odisay.com/,,,,,35.9421668,128.0738105
김천 호텔 윈,호텔,용두동 83-1,,0,0.0,,,,,,36.1207447,128.1282118
쉘모텔,"여관,모텔",대항면 운수리 10-3,054-436-6878,0,0.0,,,,,,36.11366659999999,128.0171539
수도산쉼터,펜션,증산면 평촌리 422,010-5164-1303,0,0.0,http://blog.naver.com/tnehtks2018,,,,,35.8997033,128.0179972
칸모텔,"여관,모텔",남면 봉천리 51-2,054-434-4114,0,0.0,,,,,,36.1274221,128.2264066
김천 YS 무인텔,호텔,,,0,0.0,,,,,,0,0
증산오토캠핑장,오토캠핑장,증산면 장전리 820-1,054-434-5800,0,0.0,http://cafe.daum.net/jeungsancamp,,,,,35.8698503,128.0521707
스카이모텔,"여관,모텔",부곡동 439-6,054-432-2377,0,0.0,,,,,,36.1262341,128.1064348
밀라노모텔,"여관,모텔",용두동 15,054-435-7395,0,0.0,,,,,,37.5773464,127.0374318
크리스탈모텔,"여관,모텔",남면 부상리 712,054-437-5999,0,0.0,,,,,,36.07199689999999,128.2618383
가빈모텔,"여관,모텔",감호동 10,054-430-4254,0,0.0,,,,,,36.122805,128.1299038
우두령민박,민박,구성면 마산리 130,,1,5.0,http://blog.naver.com/jhsklnjhs,['서경석'],['2020.03.01.'],['5'],[''],36.0330958,127.9698463
자이모텔,"여관,모텔",감호동 32,054-437-4888,0,0.0,,,,,,36.1215385,128.1291996
대야산방,펜션,부항면 대야리 629-1,,1,5.0,,['전망대'],['2021.02.26.'],['5'],['닭들이휘파람소리에  다집합이라 ㆍㆍ대장님홧팅'],36.0235271,127.9122304
호호모텔,"여관,모텔",평화동 245-126,054-435-7555,0,0.0,,,,,,36.1259202,128.1087207
J모텔,"여관,모텔",어모면 옥계리 25,054-434-9899,0,0.0,,,,,,36.21974,128.0977987
신큐무인텔,"여관,모텔",응명동 908-2,054-437-2245,3,3.7,,"['남찌', '최종광_불멸최강', '종성']","['2021.04.13.', '2021.04.08.', '2021.03.22.']","['5', '1', '5']","['깨끗하고 좋아요', '여긴 뭐야. 16시에 갔는데,한참 대실로 돈벌어야 한다고 2만원 추가인데 1만원 받는다네. 여주인이 돈독에 넘 오르신거 아닙니까ㅡ.ㅡ+', '']",36.1529273,128.1156127
마리나모텔,"여관,모텔",평화동 245-58,054-430-9000,0,0.0,,,,,,36.1246949,128.111242
황토민박,민박,대항면 운수리 146-1,054-435-6627,0,0.0,,,,,,36.1195098,128.0060776
파크킹,숙박,어모면 중왕리 472-23,010-6335-6800,0,0.0,,,,,,36.1796019,128.1253183
노적산방황토펜션,펜션,증산면 평촌리 252,010-2509-3687,0,0.0,https://blog.naver.com/chs0114,,,,,35.895664,128.0205097
김천 리코 무인텔,호텔,남면 오봉리 1257-2,,0,0.0,,,,,,36.1268113,128.2319274
로미오모텔,"여관,모텔",감호동 12-7,054-435-2231,0,0.0,,,,,,36.1226269,128.1296102
무인엔모텔,"여관,모텔",대항면 덕전리 1339-2,054-430-2727,0,0.0,,,,,,36.1302885,128.0362415
투엔원모텔,"여관,모텔",남면 부상리 378,054-436-5588,1,2.0,,['이정훈'],['2020.04.04.'],['2'],[''],36.0739771,128.2638888
프라미스모텔,"여관,모텔",부곡동 428-21,,0,0.0,,,,,,36.1237038,128.1028042
직지유스텔,"여관,모텔",봉산면 덕천리 553-24,010-6331-8885,0,0.0,https://pensionmotel.modoo.at/,,,,,36.13573,128.0347874
YS모텔,"여관,모텔",남면 오봉리 590-1,054-437-6830,0,0.0,,,,,,36.1014291,128.2575279
예스텔,"여관,모텔",남면 봉천리 217,054-437-9970,1,1.0,,['안'],['2021.08.15.'],['1'],['위생이 좋지않아요 싼곳은 이유가있죠. 벌레많음. 위생상태 안좋음. 큰 차량이신분은 주의하세요 차옆면 다긁힘 도로가좁아요. 주변에 아무것도없음 오지산골짜기에 덩그러니 모텔하나가... 범죄자 수배범이 숨어살기 좋은곳임. 첫방문이지만 재방문의사 없음. 너무 무서워요.ㅠㅠ'],36.1375692,128.2242879
김천 힐링 무인텔,호텔,,,0,0.0,,,,,,0,0
호박여인숙,숙박,평화동 300-14,,0,0.0,,,,,,36.1222237,128.1139458
상록수,민박,증산면 평촌리 608,054-437-4774,0,0.0,http://sangnoksu.co.kr/,,,,,35.8907063,128.01787
생각하는섬,오토캠핑장,대덕면 문의리 240,,0,0.0,http://www.idwww.co.kr/,,,,,35.8787838,127.9410435
김천 학생야영장,"야영,캠핑장",대덕면 연화리 255,054-435-3493,0,0.0,,,,,,35.9219349,127.9468423
황제모텔,"여관,모텔",평화동 245-128,054-433-4558,0,0.0,,,,,,36.1259973,128.1091619
드라이브인휴모텔,"여관,모텔",아포읍 국사리 535,,1,5.0,,['방랑식객'],['2020.10.19.'],['5'],['주차시설도잘되어있고~객실도깨끗하니가격대비완전굿~~'],36.1551593,128.2478123
새태양여인숙,"여관,모텔",평화동 324-15,,0,0.0,,,,,,36.12277530000001,128.1119825
공원민박,민박,대항면 운수리 328,054-436-6328,0,0.0,,,,,,36.11066,128.0066956
리코모텔,"여관,모텔",남면 오봉리 1257-2,054-436-8855,0,0.0,,,,,,36.1268113,128.2319274
산속의아침,민박,부항면 대야리 629-1,054-437-2431,0,0.0,,,,,,36.0235271,127.9122304
로즈힐모텔,"여관,모텔",아포읍 국사리 600-9,054-436-4009,0,0.0,,,,,,36.159039,128.2470965
아리아모텔,"여관,모텔",감호동 29,054-434-0723,0,0.0,,,,,,36.1216339,128.1293453
휠모텔,"여관,모텔",남면 부상리 789,054-431-2900,0,0.0,,,,,,36.0723222,128.2618594
소야모텔,"여관,모텔",부곡동 361-44,054-436-4348,0,0.0,,,,,,36.12437930000001,128.105408
아리수,"여관,모텔",남면 봉천리 277,070-7163-6501,0,0.0,,,,,,36.141395,128.2248433
모텔하이야트,"여관,모텔",평화동 147-9,054-439-9933,0,0.0,,,,,,35.7829989,127.1365876
황토민박펜션,펜션,증산면 평촌리 656-6,010-8834-8560,0,0.0,http://blog.naver.com/freemason21,,,,,35.8853333,128.0189155
엘림장여관,"여관,모텔",평화동 323-7,054-430-2269,0,0.0,,,,,,36.1229802,128.1126826
오봉스모텔,"여관,모텔",남면 송곡리 산 77,054-432-0056,1,1.0,,['문희주'],['2021.06.01.'],['1'],"['어제밤 12시 오봉스모텔 숙박 싸고 좋네! ? 그리고 감동 아침에 나와 일이 있어 상주로 이동, 많은 짐 정리하고, 서울행 고속버스 탑승, 가다 생각하니 어제 방에 가지고 들어간 애완달팽이 두고 왔구나 큰일이네, 오봉스 모텔 검색 전화 안됨, 다시 확인 오봉스대표전화, 다시 전화 안됨, 다시 또다시. 또다시, 또다시 수없이 전화 시도, 집에 도착, 또시도,...']",36.0894558,128.248793
샘모텔,"여관,모텔",아포읍 인리 955,054-434-9933(팩스),0,0.0,,,,,,36.1677495,128.2459879
휴모텔,"여관,모텔",대항면 덕전리 1160,054-436-2242,0,0.0,,,,,,36.131568,128.0474981
로망스모텔,"여관,모텔",감호동 39-2,054-430-5100,0,0.0,,,,,,36.1211815,128.1293212
폭스모텔,"여관,모텔",아포읍 송천리 1111,054-437-8254,0,0.0,,,,,,36.1530675,128.2686656
김천 몽플러스,호텔,감호동 158,,0,0.0,,,,,,36.1189713,128.1294965
오렌지모텔,"여관,모텔",응명동 929-1,,0,0.0,,,,,,36.1532805,128.1166179
김천 원,호텔,부곡동 425-23,,0,0.0,,,,,,36.1244688,128.1030241
모텔런던파크,"여관,모텔",부곡동 425-2,054-434-7259,0,0.0,,,,,,36.1247245,128.1032932
파크장여관,"여관,모텔",평화동 245-177,054-430-1212,0,0.0,,,,,,36.1249621,128.1087961
로얄모텔,"여관,모텔",부곡동 425-3,054-433-1123,0,0.0,,,,,,36.1246543,128.1031421
인디언걸,"여관,모텔",대항면 덕전리 1321,054-910-5656,0,0.0,,,,,,36.1291097,128.038773
김천 E,호텔,,,0,0.0,,,,,,0,0
발리모텔,"여관,모텔",아포읍 국사리 49-1,,1,5.0,,['샬롬'],['2018.02.24.'],['5'],[''],36.159496,128.2590069
김천 수,호텔,부곡동 426-7,,1,3.0,,['이준원'],['2021.05.11.'],['3'],"['숙소는 깨끗하고 넓고 좋은데 소개해준 식당 서비스가  별로였음 불친절하고 의욕도 없음, 소개해준 식당만 안가면 별점 4.5점!!!']",36.1242951,128.1047524
카오스모텔,"여관,모텔",대항면 덕전리 1346,054-432-7477,0,0.0,,,,,,36.1288983,128.0375141
극동모텔,"여관,모텔",부곡동 425-17,054-432-2810,0,0.0,,,,,,36.1245731,128.103253
수정하숙,"여관,모텔",평화동 304-11,054-434-2764,0,0.0,,,,,,36.1217677,128.1138262
에이플러스모텔,"여관,모텔",아포읍 국사리 49-2,,0,0.0,,,,,,36.1595901,128.2584249
BC모텔,"여관,모텔",어모면 옥계리 26-1,,1,5.0,,['타라꾸'],['2019.12.03.'],['5'],['외관은 삐까번쩍하지 않아도 보기보단 괞찬음'],36.2196609,128.0975384
월드모텔,"여관,모텔",용두동 30,054-431-9696,0,0.0,,,,,,37.5757009,127.034989
모노모텔,"여관,모텔",남면 봉천리 53-2,054-433-0018,0,0.0,,,,,,36.1279311,128.2260469
라인모텔,"여관,모텔",남면 부상리 47-4,,0,0.0,,,,,,36.0649367,128.298245
삼도봉해인펜션,펜션,부항면 해인리 199-2,,0,0.0,,,,,,36.0133059,127.9069089
해인타운,펜션,부항면 해인리 177-2,054-437-4492,0,0.0,,,,,,36.0131358,127.9072242
리치모텔,"여관,모텔",용두동 49-1,054-436-4406,0,0.0,,,,,,0,0
샤르망모텔,"여관,모텔",대항면 운수리 38-10,,0,0.0,,,,,,36.115089,128.0159968
증산사람들,숙박,증산면 평촌리 364-2,054-437-6868,0,0.0,http://jspeople.or.kr/,,,,,35.898315,128.0198236
김천 프라미스,호텔,부곡동 428-21,,0,0.0,,,,,,36.1237038,128.1028042
홍일장여관,"여관,모텔",평화동 261-4,054-434-2020,0,0.0,,,,,,36.123178,128.1131273
마운틴모텔,"여관,모텔",아포읍 대성리 666-1,,0,0.0,,,,,,36.1078981,128.2740074
큐모텔,"여관,모텔",아포읍 대성리 547-4,,0,0.0,,,,,,36.118258,128.2800242
베니스모텔,"여관,모텔",용두동 19-4,054-437-1530,0,0.0,,,,,,0,0
인디언보이,"여관,모텔",대항면 덕전리 1317-6,054-910-5556,0,0.0,,,,,,36.1287176,128.0390372
아리랑모텔,"여관,모텔",평화동 147-18,054-433-1417,0,0.0,,,,,,36.1267421,128.1078464
공감모텔,"여관,모텔",평화동 245-206,054-433-7030,0,0.0,,,,,,36.1256164,128.1088281
올리브모텔,"여관,모텔",용두동 163-2,054-434-3016,0,0.0,,,,,,37.5795441,127.0302936
진여지야영장,"야영,캠핑장",대항면 대성리 995-1,,0,0.0,,,,,,36.0643793,128.0154304
나르모텔,"여관,모텔",부곡동 428-9,,0,0.0,,,,,,36.1236582,128.1033929
뉴스위트모텔,"여관,모텔",남면 봉천리 51-5,054-439-9444,0,0.0,,,,,,36.1264964,128.2273904
파크모텔,"여관,모텔",평화동 245,054-430-1212,0,0.0,,,,,,36.1258413,128.1112891
선모텔,"여관,모텔",대항면 덕전리 1340-2,054-431-3333,0,0.0,,,,,,36.1298963,128.036588
금오동천 숯가마,숙박,남면 부상리 산 237,,0,0.0,,,,,,36.0639611,128.2994924
숲속에하루펜션,펜션,부항면 대야리 535-1,010-5219-6474,0,0.0,http://cafe.daum.net/kjm1night2day,,,,,36.0192581,127.9103645
한국스카우트연맹김천야영장,"야영,캠핑장",감문면 삼성리 1383,,0,0.0,,,,,,36.2303117,128.1716329
비씨모텔,"여관,모텔",어모면 옥계리 26-1,054-430-2003,0,0.0,,,,,,36.2196609,128.0975384
힐탑장,"여관,모텔",응명동 707-3,,0,0.0,,,,,,36.1459073,128.124449
삼원장여관,"여관,모텔",평화동 245-186,054-432-7588,0,0.0,,,,,,36.1247786,128.1093902
